./Neuralgia/image0.jpg: Gordon setter, minibus, sidewinder, miniskirt, hand-held computer, Doberman, steel drum, packet
./Neuralgia/image1.jpg: terrapin, comic book, worm fence, African chameleon, mousetrap, prayer rug, kimono, maillot
./Neuralgia/image2.jpg: common iguana, bullfrog, swimming trunks, bow, loggerhead, black grouse, horned viper, night snake
./Neuralgia/image3.jpg: fiddler crab, eft, tiger shark, green mamba, coho, chambered nautilus, electric ray, boa constrictor
./Neuralgia/image4.jpg: sleeping bag, coho, mongoose, coral reef, dhole, wood rabbit, frilled lizard, banded gecko
./Neuralgia/image5.jpg: frilled lizard, banded gecko, Airedale, diamondback, hyena, common iguana, partridge, terrapin
./Neuralgia/image6.jpg: hippopotamus, electric ray, thunder snake, ant, snail, prayer rug, redbone, African chameleon
./Neuralgia/image7.jpg: snail, spindle, frilled lizard, night snake, tailed frog, horned viper, otter, pretzel
./Neuralgia/image8.jpg: Yorkshire terrier, armadillo, crayfish, tabby, triceratops, sidewinder, horned viper, beaver
./Neuralgia/image9.jpg: chiton, echidna, axolotl, jaguar, armadillo, American alligator, Chesapeake Bay retriever, stingray
./Neuralgia/image10.jpg: European fire salamander, platypus, coho, brain coral, wood rabbit, American alligator, leopard, thunder snake
./Neuralgia/image11.jpg: wreck, stingray, hippopotamus, mongoose, hognose snake, sea anemone, centipede, volcano
./Neuralgia/image12.jpg: coil, broom, poncho, brain coral, knot, Gila monster, maraca, dugong
./Neuralgia/image13.jpg: sock, shower cap, sea slug, oxygen mask, pinwheel, isopod, zebra, abacus
./Neuralgia/image14.jpg: rock beauty, snail, sea anemone, stingray, candle, shower cap, chambered nautilus, puffer
./Neuralgia/image15.jpg: sleeping bag, snorkel, axolotl, red fox, electric ray, tench, cheetah, tray
./Neuralgia/image16.jpg: gar, rock python, poncho, tub, stingray, gong, Chesapeake Bay retriever, flatworm
./Neuralgia/image17.jpg: gar, rock beauty, bathtub, black-and-tan coonhound, rock crab, Indian elephant, mongoose, maze
./Neuralgia/image18.jpg: swimming trunks, Gila monster, tailed frog, slug, Chesapeake Bay retriever, African chameleon, night snake, book jacket
./Neuralgia/image19.jpg: crayfish, rock python, bullfrog, nematode, king snake, quail, chain, American chameleon
./Neuralgia/image20.jpg: common iguana, scorpion, African crocodile, thunder snake, Dungeness crab, green snake, coral reef, eft
./Neuralgia/image21.jpg: ringneck snake, snail, African crocodile, hognose snake, nematode, sidewinder, rock beauty, gar
./Neuralgia/image22.jpg: vine snake, chain, frilled lizard, starfish, Gila monster, king snake, quilt, centipede
./Neuralgia/image23.jpg: diamondback, loggerhead, tile roof, night snake, water snake, handkerchief, eft, American alligator
./Neuralgia/image24.jpg: frilled lizard, cockroach, coil, banded gecko, shower curtain, African crocodile, quilt, skunk
